"country_code","country","continent"
"AFG","Afghanistan","Asia"
"AGO","Angola","Africa"
"ALB","Albania","Europe"
"AND","Andorra","Europe"
"ARE","United Arab Emirates","Asia"
"ARG","Argentina","South America"
"ARM","Armenia","Asia"
"ATG","Antigua and Barbuda","North America"
"AUS","Australia","Oceania"
"AUT","Austria","Europe"
"AZE","Azerbaijan","Asia"
"BDI","Burundi","Africa"
"BEL","Belgium","Europe"
"BEN","Benin","Africa"
"BFA","Burkina Faso","Africa"
"BGD","Bangladesh","Asia"
"BGR","Bulgaria","Europe"
"BHR","Bahrain","Asia"
"BHS","Bahamas","North America"
"BIH","Bosnia and Herzegovina","Europe"
"BLR","Belarus","Europe"
"BLZ","Belize","North America"
"BOL","Bolivia, Plurinational State of","South America"
"BRA","Brazil","South America"
"BRB","Barbados","North America"
"BRN","Brunei Darussalam","Asia"
"BTN","Bhutan","Asia"
"BWA","Botswana","Africa"
"CAF","Central African Republic","Africa"
"CAN","Canada","North America"
"CHE","Switzerland","Europe"
"CHL","Chile","South America"
"CHN","China","Asia"
"CIV","Côte d'Ivoire","Africa"
"CMR","Cameroon","Africa"
"COD","Congo, The Democratic Republic of the","Africa"
"COG","Congo","Africa"
"COL","Colombia","South America"
"COM","Comoros","Africa"
"CPV","Cabo Verde","Africa"
"CRI","Costa Rica","North America"
"CUB","Cuba","North America"
"CYP","Cyprus","Europe"
"CZE","Czechia","Europe"
"DEU","Germany","Europe"
"DJI","Djibouti","Africa"
"DMA","Dominica","North America"
"DNK","Denmark","Europe"
"DOM","Dominican Republic","North America"
"DZA","Algeria","Africa"
"ECU","Ecuador","South America"
"EGY","Egypt","Africa"
"ERI","Eritrea","Africa"
"ESP","Spain","Europe"
"EST","Estonia","Europe"
"ETH","Ethiopia","Africa"
"FIN","Finland","Europe"
"FJI","Fiji","Oceania"
"FRA","France","Europe"
"FSM","Micronesia, Federated States of","Oceania"
"GAB","Gabon","Africa"
"GBR","United Kingdom","Europe"
"GEO","Georgia","Asia"
"GHA","Ghana","Africa"
"GIN","Guinea","Africa"
"GMB","Gambia","Africa"
"GNB","Guinea-Bissau","Africa"
"GNQ","Equatorial Guinea","Africa"
"GRC","Greece","Europe"
"GRD","Grenada","North America"
"GTM","Guatemala","North America"
"GUY","Guyana","South America"
"HND","Honduras","North America"
"HRV","Croatia","Europe"
"HTI","Haiti","North America"
"HUN","Hungary","Europe"
"IDN","Indonesia","Asia"
"IND","India","Asia"
"IRL","Ireland","Europe"
"IRN","Iran, Islamic Republic of","Asia"
"IRQ","Iraq","Asia"
"ISL","Iceland","Europe"
"ISR","Israel","Asia"
"ITA","Italy","Europe"
"JAM","Jamaica","North America"
"JOR","Jordan","Asia"
"JPN","Japan","Asia"
"KAZ","Kazakhstan","Asia"
"KEN","Kenya","Africa"
"KGZ","Kyrgyzstan","Asia"
"KHM","Cambodia","Asia"
"KIR","Kiribati","Oceania"
"KNA","Saint Kitts and Nevis","North America"
"KOR","Korea, Republic of","Asia"
"KWT","Kuwait","Asia"
"LAO","Lao People's Democratic Republic","Asia"
"LBN","Lebanon","Asia"
"LBR","Liberia","Africa"
"LBY","Libya","Africa"
"LCA","Saint Lucia","North America"